HCPCS_CPT_CODE|MODIFIER|FEE
25652||5459.48
25660||144.61
25670||3937.76
25671||1771.19
25675||144.61
25676||3937.76
25680||144.61
25685||3937.76
25690||940.23
25695||3937.76
25800||5381.68
25805||5591.65
25810||9683.96
25820||5248.84
25825||5011.35
25830||3937.76
25907||1771.19
25922||940.23
25929||1100.39
25931||1771.19
26010||119.75
26011||794.41
26020||1771.19
26025||1771.19
26030||1771.19
26034||940.23
26035||1771.19
26037||1771.19
26040||940.23
26045||1771.19
26055||940.23
26060||940.23
26070||940.23
26075||1771.19
26080||940.23
26100||1771.19
26105||1771.19
26110||940.23
26111||794.41
26113||794.41
26115||794.41
26116||794.41
26117||1348.05
26118||1348.05
26121||1771.19
26123||1771.19
26130||1771.19
26135||1771.19
26140||940.23
26145||940.23
26160||940.23
26170||940.23
26180||940.23
26185||940.23
26200||940.23
26205||3937.76
26210||940.23
26215||1771.19
26230||1771.19
26235||940.23
26236||940.23
26250||1771.19
26260||1771.19
26262||940.23
26320||794.41
26340||940.23
26341||90.33
26350||1771.19
26352||3937.76
26356||1771.19
26357||1771.19
26358||3937.76
26370||1771.19
26372||5013.73
26373||1771.19
26390||4983.49
26392||3937.76
26410||940.23
26412||1771.19
26415||1771.19
26416||1771.19
26418||940.23
26420||1771.19
26426||1771.19
26428||1771.19
26432||940.23
26433||1771.19
26434||1771.19
26437||1771.19
26440||940.23
26442||1771.19
26445||1771.19
26449||1771.19
26450||1771.19
26455||940.23
26460||940.23
26471||1771.19
26474||940.23
26476||1771.19
26477||1771.19
26478||1771.19
26479||1771.19
26480||1771.19
26483||1771.19
26485||1771.19
26489||1771.19
26490||1771.19
26492||1771.19
26494||1771.19
26496||1771.19
26497||1771.19
26498||1771.19
26499||1771.19
26500||3937.76
26502||1771.19
26508||1771.19
26510||1771.19
26516||1771.19
26517||1771.19
26518||3937.76
26520||1771.19
26525||940.23
26530||5258.69
26531||5441.48
26535||1771.19
26536||5180.21
26540||1771.19
26541||2289.1
26542||2297.34
26545||2303.31
26546||3937.76
26548||1771.19
26550||1771.19
26555||3937.76
26560||940.23
26561||1771.19
26562||1771.19
26565||1771.19
26567||1771.19
26568||5346.35
26580||1771.19
26587||1771.19
26590||940.23
26591||1771.19
26593||1771.19
26596||1771.19
26600||144.61
26605||144.61
26607||1771.19
26608||1771.19
26615||1771.19
26641||144.61
26645||940.23
26650||1771.19
26665||1771.19
26670||144.61
26675||940.23
26676||1771.19
26685||1771.19
26686||2244.93
26700||144.61
26705||940.23
26706||1771.19
26715||1771.19
26720||144.61
26725||144.61
26727||1771.19
26735||1771.19
26740||144.61
26742||940.23
26746||1771.19
26750||140.4
26755||144.61
26756||1771.19
26765||1771.19
26770||144.61
26775||159.86
26776||1771.19
26785||1771.19
26820||3937.76
26841||3937.76
26842||4990.97
26843||4990.97
26844||5441.14
26850||3937.76
26852||3937.76
26860||1771.19
26862||1771.19
26910||1771.19
26951||1771.19
26952||1771.19
26990||1771.19
26991||940.23
27000||940.23
27001||1771.19
27003||3937.76
27006||1771.19
27033||3937.76
27035||1771.19
27040||794.41
27041||794.41
27043||1348.05
27045||1348.05
27047||1348.05
27048||1348.05
27049||1348.05
27050||940.23
27052||940.23
27059||1348.05
27060||3937.76
27062||1771.19
27065||3937.76
27066||1771.19
27067||5591.3
27080||1771.19
27086||1348.05
27087||1771.19
27097||1771.19
27098||2301.31
27100||3937.76
27105||1771.19
27110||5296.74
27111||1771.19
27130||10598.04
27197||144.61
27198||144.61
27200||133.15
27202||1771.19
27220||144.61
27230||144.61
27238||940.23
27246||144.61
27250||144.61
27252||940.23
27256||144.61
27257||940.23
27265||144.61
27266||940.23
27267||1771.19
27275||940.23
27278||17576.19
27279||17022.03
27301||1348.05
27305||1771.19
27306||1771.19
27307||1771.19
27310||1771.19
27323||794.41
27324||1348.05
27325||1037.4
27326||1037.4
27327||794.41
27328||1348.05
27329||1348.05
27330||1771.19
27331||1771.19
27332||1771.19
27333||1771.19
27334||1771.19
27335||3937.76
27337||1348.05
27339||1348.05
27340||1771.19
27345||1771.19
27347||1771.19
27350||3937.76
27355||1771.19
27356||9429.77
27357||4990.97
27360||1771.19
27364||1348.05
27372||1348.05
27380||3937.76
27381||5000.49
27385||3937.76
27386||3937.76
27390||1771.19
27391||1771.19
27392||1771.19
27393||3937.76
27394||3937.76
27395||1771.19
27396||3937.76
27397||5820.3
27400||4966.18
27403||5091.2
27405||3937.76
27407||5604.22
27409||3937.76
27412||3937.76
27415||12339.53
27416||3937.76
27418||3937.76
27420||3937.76
27422||3937.76
27424||3937.76
27425||1771.19
27427||5357.56
27428||7439.86
27429||10556.32
27430||3937.76
27435||1771.19
27437||3937.76
27438||9506.15
27440||10091.57
27441||7439.86
27442||9861.78
27443||10755.31
27446||10186.58
27447||10381.08
27475||3937.76
27479||3937.76
27496||1771.19
27497||1771.19
27498||940.23
27499||3937.76
27500||144.61
27501||144.61
27502||940.23
27503||940.23
27508||144.61
27509||5130.27
27510||940.23
27516||144.61
27517||940.23
27520||144.61
27524||3937.76
27530||144.61
27532||1771.19
27538||144.61
27550||144.61
27552||940.23
27560||144.61
27562||144.61
27566||3937.76
27570||940.23
27594||1771.19
27600||1771.19
27601||1771.19
27602||1771.19
27603||1348.05
27604||1771.19
27605||940.23
27606||1771.19
27607||1771.19
27610||1771.19
27612||1771.19
27613||182.85
27614||1348.05
27615||1348.05
27616||1348.05
27618||794.41
27619||1348.05
27620||1771.19
27625||1771.19
27626||1771.19
27630||1771.19
27632||1348.05
27634||1348.05
27635||1771.19
27637||5305.58
27638||3937.76
27640||1771.19
27641||1771.19
27647||1771.19
27650||3937.76
27652||5191.08
27654||4980.78
27656||1771.19
27658||1771.19
27659||3937.76
27664||3937.76
27665||4978.4
27675||1771.19
27676||3937.76
27680||1771.19
27681||1771.19
27685||1771.19
27686||1771.19
27687||1771.19
27690||3937.76
27691||3937.76
27695||5245.44
27696||5059.6
27698||5137.06
27700||5963.0
27702||16684.35
27704||1771.19
27705||4967.19
27707||1771.19
27709||9673.7
27720||5209.76
27726||5316.79
27730||2244.93
27732||1771.19
27734||1771.19
27740||1771.19
27742||1771.19
27745||5344.31
27750||144.61
27752||940.23
27756||5449.63
27758||9983.09
27759||9889.38
27760||144.61
27762||940.23
27766||3937.76
27767||144.61
27768||940.23
27769||5295.05
27780||144.61
27781||940.23
27784||3937.76
27786||144.61
27788||144.61
27792||5155.08
27808||144.61
27810||940.23
27814||5122.8
27816||144.61
27818||940.23
27822||5168.66
27823||5072.18
27824||144.61
27825||940.23
27826||5190.06
27827||9823.9
27828||10079.38
27829||5363.33
27830||144.61
27831||1771.19
27832||5273.64
27840||144.61
27842||940.23
27846||3937.76
27848||5686.43
27860||1771.19
27870||10755.31
27871||10660.3
27884||1771.19
27889||3937.76
27892||1771.19
27893||3937.76
27894||1771.19
28001||106.31
28002||940.23
28003||1771.19
28005||1771.19
28008||1771.19
28010||142.22
28011||940.23
28020||1771.19
28022||1771.19
28024||940.23
28035||1037.4
28039||1348.05
28041||1348.05
28043||794.41
28045||1348.05
28046||1348.05
28047||1348.05
28050||1771.19
28052||1771.19
28054||1771.19
28055||1037.4
28060||1771.19
28062||1771.19
28070||3937.76
28072||1771.19
28080||940.23
28086||1771.19
28088||1771.19
28090||940.23
28092||940.23
28100||1771.19
28102||5647.37
28103||5888.24
28104||1771.19
28106||6356.76
28107||3937.76
28108||940.23
28110||1771.19
28111||1771.19
28112||1771.19
28113||1771.19
28114||1771.19
28116||1771.19
28118||1771.19
28119||1771.19
28120||1771.19
28122||1771.19
28124||320.71
28126||1771.19
28130||4990.97
28140||1771.19
28150||1771.19
28153||1771.19
28160||1771.19
28171||1771.19
28173||1771.19
28175||940.23
28190||177.77
28192||794.41
28193||794.41
28200||1771.19
28202||5306.94
28208||1771.19
28210||5426.87
28220||299.67
28222||1771.19
28225||1771.19
28226||1771.19
28230||295.68
28232||268.84
28234||940.23
28238||3937.76
28240||1771.19
28250||1771.19
28260||1771.19
28261||940.23
28262||4990.97
28264||940.23
28270||1771.19
28272||260.12
28280||1771.19
28285||1771.19
28286||1771.19
28288||1771.19
28289||1771.19
28291||5444.54
28292||1771.19
28295||1771.19
28296||1771.19
28297||11014.0
28298||4971.27
28299||5021.21
28300||5110.57
28302||5002.86
28304||3937.76
28305||5464.92
28306||3937.76
28307||3937.76
28308||1771.19
28309||3937.76
28310||3937.76
28312||1771.19
28313||1771.19
28315||1771.19
28320||9548.53
28322||5363.68
28340||1771.19
28341||1771.19
28344||1771.19
28345||940.23
28400||144.61
28405||144.61
28406||3937.76
28415||5194.48
28420||10482.5
28430||144.61
28435||940.23
28436||6823.23
28445||3937.76
28446||4990.97
28450||144.61
28455||160.0
28456||3937.76
28465||5058.24
28470||144.61
28475||144.61
28476||1771.19
28485||5078.63
28490||113.55
28495||137.14
28496||1771.19
28505||1771.19
28510||89.97
28515||123.35
28525||1771.19
28530||89.25
28531||3937.76
28540||135.69
28545||1771.19
28546||1264.7
28555||5647.7
28570||144.61
28575||1771.19
28576||3937.76
28585||5647.7
28600||144.61
28605||144.61
28606||1771.19
28615||5031.06
28630||98.68
28635||940.23
28636||1771.19
28645||1771.19
28660||86.34
28665||159.86
28666||1771.19
28675||1771.19
28705||15808.23
28715||10877.28
28725||10596.11
28730||11053.79
28735||11148.15
28737||11363.84
28740||5659.93
28750||5555.63
28755||3937.76
28760||3937.76
28810||1771.19
28820||1771.19
28825||1771.19
