HCPCS	EFF_DATE	RATE
83582	20250101	15.47
83586	20250101	12.8
83593	20250101	28.5
83605	20250101	11.57
83605	20250101	11.57
83615	20250101	6.04
83625	20250101	12.79
83630	20250101	19.7
83631	20250101	19.63
83632	20250101	20.22
83633	20250101	11.25
83655	20250101	12.11
83655	20250101	12.11
83661	20250101	21.99
83662	20250101	18.91
83663	20250101	18.91
83664	20250101	19.32
83670	20250101	9.81
83690	20250101	6.89
83695	20250101	14.32
83698	20250101	46.31
83700	20250101	11.26
83701	20250101	33.86
83704	20250101	34.19
83718	20250101	8.19
83718	20250101	8.19
83719	20250101	12.75
83721	20250101	10.5
83721	20250101	10.5
83722	20250101	34.19
83727	20250101	17.19
83735	20250101	6.7
83775	20250101	7.37
83785	20250101	26.65
83789	20250101	24.11
83825	20250101	16.26
83835	20250101	16.94
83857	20250101	10.74
83861	20250101	22.48
83861	20250101	22.48
83864	20250101	28.5
83872	20250101	5.86
