SVC_CD|MODIFIER_1|MODIFIER_2|MODIFIER_3|MODIFIER_4|FEE|AS_OF_DATE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
E0116|NU||||32.19|10/1/24||||
E0116|RR||||6.61|10/1/24||||
E0116|UE||||24.23|10/1/24||||
E0117|RR||||26.28|10/1/24||||
E0130|NU||||53.97|10/1/24||||
E0130|RR||||5.4|10/1/24||||
E0130|UE||||40.48|10/1/24||||
E0135|NU||||54.12|10/1/24||||
E0135|RR||||5.41|10/1/24||||
E0135|UE||||40.59|10/1/24||||
E0140|RR||||31.86|10/1/24||||
E0141|NU||||55.95|10/1/24||||
E0141|RR||||5.59|10/1/24||||
E0141|UE||||41.96|10/1/24||||
E0143|NU||||55.95|10/1/24||||
E0143|RR||||5.59|10/1/24||||
E0143|UE||||41.96|10/1/24||||
E0144|RR||||32.48|10/1/24||||
E0147|NU||||459.25|10/1/24||||
E0147|RR||||45.93|10/1/24||||
E0147|UE||||344.44|10/1/24||||
E0148|NU||||95.93|10/1/24||||
E0148|RR||||9.59|10/1/24||||
E0148|UE||||71.95|10/1/24||||
E0149|RR||||14.42|10/1/24||||
E0153|NU||||94.69|10/1/24||||
E0153|RR||||10.71|10/1/24||||
E0153|UE||||71.0|10/1/24||||
E0154|NU||||55.59|10/1/24||||
E0154|RR||||5.56|10/1/24||||
E0154|UE||||41.69|10/1/24||||
E0155|NU||||24.23|10/1/24||||
E0155|RR||||2.42|10/1/24||||
E0155|UE||||18.17|10/1/24||||
E0156|NU||||18.99|10/1/24||||
E0156|RR||||1.9|10/1/24||||
E0156|UE||||14.25|10/1/24||||
E0157|NU||||61.39|10/1/24||||
E0157|RR||||6.14|10/1/24||||
E0157|UE||||46.04|10/1/24||||
E0158|NU||||24.69|10/1/24||||
E0158|RR||||2.47|10/1/24||||
E0158|UE||||18.52|10/1/24||||
E0159|NU||||15.8|10/1/24||||
E0159|RR||||1.58|10/1/24||||
E0159|UE||||11.85|10/1/24||||
E0160|NU||||33.47|10/1/24||||
E0160|RR||||3.35|10/1/24||||
E0160|UE||||25.1|10/1/24||||
E0161|NU||||26.61|10/1/24||||
E0161|RR||||2.66|10/1/24||||
E0161|UE||||19.96|10/1/24||||
E0162|NU||||168.99|10/1/24||||
E0162|RR||||17.74|10/1/24||||
E0162|UE||||131.04|10/1/24||||
E0163|NU||||59.73|10/1/24||||
E0163|RR||||5.97|10/1/24||||
E0163|UE||||44.8|10/1/24||||
E0165|RR||||13.96|10/1/24||||
E0167|NU||||12.34|10/1/24||||
E0167|RR||||1.24|10/1/24||||
E0167|UE||||9.26|10/1/24||||
E0168|NU||||132.24|10/1/24||||
E0168|RR||||13.23|10/1/24||||
E0168|UE||||99.18|10/1/24||||
E0170|RR||||185.27|10/1/24||||
E0171|RR||||34.35|10/1/24||||
E0175|NU||||76.81|10/1/24||||
E0175|RR||||7.68|10/1/24||||
E0175|UE||||56.54|10/1/24||||
E0181|RR||||18.31|10/1/24||||
E0182|RR||||24.47|10/1/24||||
E0183|RR||||18.31|10/1/24||||
E0184|NU||||185.52|10/1/24||||
E0184|RR||||18.55|10/1/24||||
E0184|UE||||139.14|10/1/24||||
E0185|NU||||190.74|10/1/24||||
E0185|RR||||19.08|10/1/24||||
E0185|UE||||143.05|10/1/24||||
E0186|RR||||22.6|10/1/24||||
E0187|RR||||25.91|10/1/24||||
E0188|NU||||29.72|10/1/24||||
E0188|RR||||2.97|10/1/24||||
E0188|UE||||22.3|10/1/24||||
E0189|NU||||57.16|10/1/24||||
E0189|RR||||5.71|10/1/24||||
